loss,cer,wer,acc
1.8569,0.7991,1.1600,0.3973
1.8581,0.7306,1.1051,0.4248
1.8564,0.7910,0.9937,0.3981
1.8413,0.8402,1.2489,0.3936
1.8098,0.9399,1.1815,0.3678
1.8266,0.8467,1.1744,0.3907
1.8132,0.8460,1.1079,0.3924
1.8681,0.6924,1.1164,0.4263
2.0417,0.8090,1.1797,0.3620
1.7524,0.8931,1.1681,0.3947
1.8479,0.8180,1.1655,0.3938
1.8326,0.7438,1.0993,0.4208
1.8277,0.9446,1.2032,0.3701
1.8373,0.7171,1.1185,0.4310
1.8481,0.6632,1.0090,0.4349
1.8340,0.8190,1.1867,0.3984
1.8164,0.9720,1.3745,0.3513
1.8236,0.8351,1.1338,0.3795
1.8796,1.0724,1.5153,0.3349
1.8565,1.3154,1.5789,0.2831
1.8308,0.7251,1.1038,0.4274
1.8207,0.7485,1.3287,0.4232
1.8130,0.7744,1.1324,0.4126
1.8671,0.7942,1.2887,0.3983
1.8252,0.8938,1.2763,0.3745
1.8136,0.7987,1.2061,0.4011
1.8580,1.0933,1.3234,0.3327
1.8052,0.6095,1.0472,0.4679
1.8783,0.8772,1.1634,0.3809
1.9075,0.8137,1.2109,0.3808
1.8499,0.7486,1.1734,0.4119
1.8289,1.0404,1.1189,0.3448
1.8423,0.7350,1.0106,0.4278
1.8974,1.1725,1.6778,0.3066
1.8837,0.7951,1.1171,0.3960
1.8671,0.7452,1.0966,0.4155
1.8520,0.7101,1.0609,0.4150
1.9071,0.9391,1.1610,0.3462
1.8278,0.8676,1.1847,0.3868
1.8474,1.0197,1.2308,0.3407
1.8838,1.4767,1.8201,0.2551
1.7799,0.8327,1.2100,0.3992
1.8308,0.8009,1.1066,0.4015
1.8596,0.7787,1.3192,0.3991
1.8415,0.8832,1.0849,0.3844
1.8003,0.9961,1.4458,0.3553
1.7903,1.0608,1.2061,0.3460
1.8159,1.0057,1.2500,0.3522
1.8420,1.1396,1.5455,0.3142
1.8050,0.5954,1.1012,0.4689
1.8484,0.8219,1.2926,0.3929
1.8003,1.3389,1.6270,0.2940
1.7773,0.8233,1.1533,0.4044
1.8275,0.8322,1.0961,0.3892
1.8183,0.6638,1.0833,0.4428
1.9601,0.8072,1.1365,0.3793
